Order,Scenario,n_s_max,Solution,Gap,Time,A_c
7,1,1,5067,0.0,0,4731
7,1,2,4837,0.0,4,4708
7,2,1,5065,0.0,25,4749
7,2,2,4809,0.0,742,4662
7,3,2,4746,0.0,925,4594
8,1,1,1720,0.0,0,1562
8,1,2,1590,0.0,4,1530
8,2,1,1720,0.0,23,1561
8,2,2,1590,0.0,107,1528
8,3,2,1590,0.0,192,1528
10,1,1,1951,0.0,2,1848
10,1,2,1877,0.0,77,1841
10,2,1,1893,0.0,84,1755
10,2,2,1804,0.28,1801,1744
10,3,2,1805,0.56,1800,1741
17,1,1,30436,0.0,6,28042
17,1,2,28458,0.0,151,27272
17,2,1,29921,0.0,186,27459
17,2,2,28238,0.30,1800,25479
17,3,2,27601,0.28,1800,25653
20,1,1,14253,0.0,39,12823
20,1,2,13256,0.02,1800,12727
